sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
SRR3933286.SRS1572512,parallel,aquatic;sea,aquatic,sea,6,90,47,-48.288,4.76083752732158,0.0666666666666667
SRR3669657.SRS1505258,overlap,aquatic;ocean,aquatic,sea,0,40,42.666,-63.415,10.3463222662936,0
SRR11747484.SRS6620573,parallel,aquatic;marine,aquatic,sea,6,95,-45.84,170.65,11.8636512604888,0.0631578947368421
SRR1818179.SRS856986,overlap,aquatic;ocean,aquatic,sea,1,37,-19.268,147.06,25.626266773074,0.027027027027027
SRR5131910.SRS1879428,overlap,aquatic;marine,aquatic,sea,48,425,24.47,-156.29,24.372240983276,0.112941176470588
SRR5180879.SRS1922046,overlap,aquatic;marine,aquatic,sea,6,91,42.25,-70.54,10.8754882697101,0.0659340659340659
SRR2104330.SRS993302,overlap,aquatic;marine,aquatic,sea,4,119,55.18,7.9,10.9677788647,0.0336134453781513
SRR11241040.SRS6262388,parallel,aquatic;marine,aquatic,sea,0,33,21.59,-151.78,24.5045272365973,0
SRR7479526.SRS3508714,overlap,aquatic;sea,aquatic,sea,4,92,35.26,129.29,17.6122286068217,0.0434782608695652
SRR7594616.SRS2834573,parallel,aquatic;marine,aquatic,sea,3,61,-27.345,153.562,24.0868335801995,0.0491803278688525
SRR8248120.SRS4081604,overlap,aquatic;sea,aquatic,sea,3,110,55.684,21.011,10.1461802481088,0.0272727272727273
SRR9841426.SRS5144607,parallel,aquatic;marine,aquatic,sea,37,404,9.175,79.084,28.7497589702782,0.0915841584158416
SRR5131980.SRS1879498,overlap,aquatic;marine,aquatic,sea,37,400,24.39,-156.77,24.4501286698422,0.0925
SRR2168139.SRS1036820,parallel,aquatic;marine,aquatic,sea,2,70,25.302,-147.617,23.2151503571207,0.0285714285714286
SRR12685236.SRS7404077,parallel,aquatic;ocean,aquatic,sea,0,40,-46.081,142.252,11.2919624288461,0
SRR943924.SRS464607,parallel,aquatic;marine,aquatic,sea,2,32,57.261,8.732,10.5118472556722,0.0625
SRR6471784.SRS2834433,parallel,aquatic;marine,aquatic,sea,2,132,-42.597,148.233,14.6442606675042,0.0151515151515152
SRR5060963.SRS788002,overlap,aquatic;marine,aquatic,sea,1,50,75.369,-93.157,-1.50112584763143,0.02
SRR7033274.SRS2777388,parallel,aquatic;marine,aquatic,sea,1,27,-24.499,-170.002,24.0433318873615,0.037037037037037
SRR5827463.SRS2355761,parallel,aquatic;ocean,aquatic,sea,3,58,46.46,-157.99,8.86617930397032,0.0517241379310345
SRR3098327.SRS1245961,parallel,aquatic;sea,aquatic,sea,8,69,34.718,-76.671,20.3708522805733,0.115942028985507
SRR2133843.SRS1016432,overlap,aquatic;ocean,aquatic,sea,27,199,26.006,-92.366,26.284200336424,0.135678391959799
SRR7595179.SRS3194600,parallel,aquatic;marine,aquatic,sea,17,165,-34.073,151.152,20.2723059245786,0.103030303030303
SRR2125545.SRS870445,parallel,aquatic;marine,aquatic,sea,0,35,36.883,-121.95,12.2274567960828,0
SRR6756665.SRS2986601,overlap,aquatic;marine,aquatic,sea,4,46,21.462,-95.039,26.9601853248963,0.0869565217391304
SRR8167130.SRS4024765,parallel,aquatic;sea,aquatic,sea,1,35,42.832,-61.732,10.4795155713833,0.0285714285714286
ERR1664679.ERS1372604,overlap,aquatic;sea,aquatic,sea,29,130,18.375,-81.797,28.2165558934375,0.223076923076923
SRR7599493.SRS2834092,parallel,aquatic;marine,aquatic,sea,17,286,-34.119,151.227,20.4315708716673,0.0594405594405594
ERR562498.ERS488410,overlap,aquatic;marine,aquatic,sea,8,102,34.453,14.954,21.5155290673565,0.0784313725490196
SRR5178515.SRS1921937,overlap,aquatic;marine,aquatic,sea,15,137,42.25,-70.54,10.8754882697101,0.109489051094891
SRR11796364.SRS6664829,overlap,aquatic;marine,aquatic,sea,11,92,54.46,10.33,10.5428454655318,0.119565217391304
SRR5643445.SRS2250297,overlap,aquatic;ocean,aquatic,sea,2,89,-31.893,-177.532,19.8444165261221,0.0224719101123596
SRR5643438.SRS2250304,overlap,aquatic;ocean,aquatic,sea,8,152,-35.905,-178.962,17.7678458982684,0.0526315789473684
SRR7033616.SRS2777436,parallel,aquatic;marine,aquatic,sea,1,35,-19.495,-170.003,26.8311005894935,0.0285714285714286
SRR3933512.SRS1572583,parallel,aquatic;sea,aquatic,sea,18,274,43.858,-60.157,8.71757915737759,0.0656934306569343
ERR1685399.ERS1403757,overlap,aquatic;marine,aquatic,sea,4,53,61.133,-2.173,10.4340713875426,0.0754716981132076
SRR2136225.SRS1017512,overlap,aquatic;marine,aquatic,sea,2,21,44.667,-125.1,12.3348343107809,0.0952380952380952
SRR7763767.SRS3722308,parallel,aquatic;marine,aquatic,sea,1,36,36.747,-122.019,12.5532421516552,0.0277777777777778
SRR1016448.SRS481323,overlap,aquatic;brine,aquatic,aquatic.others,0,11,38.202,-21.605,18.8947899325057,0
SRR8304221.SRS4134906,overlap,aquatic;marine,aquatic,sea,1,17,28.034,-93.53,25.2266567678176,0.0588235294117647
SRR7597779.SRS3195214,parallel,aquatic;marine,aquatic,sea,0,27,-46.712,-170.912,12.0450558763819,0
SRR1649672.SRS743664,overlap,aquatic;marine,aquatic,sea,20,126,37.863,-122.313,13.8627300024648,0.158730158730159
