,env,sample,deterministic processes,stochastic processes
1799,ice,99,3.7426663969249403,96.25733360307505
1726,ice,26,4.7175541607612805,95.28244583923872
1727,ice,27,4.795629299878589,95.20437070012142
1728,ice,28,3.92394822006472,96.07605177993528
1729,ice,29,3.4217452925693395,96.57825470743066
1730,ice,30,3.50273334683134,96.49726665316867
1731,ice,31,3.98785425101214,96.01214574898786
1732,ice,32,3.4636418877861,96.5363581122139
1733,ice,33,4.55465587044534,95.44534412955466
1734,ice,34,3.2375556454876495,96.76244435451235
1722,ice,22,3.7636584378794,96.2363415621206
1736,ice,36,4.43230115361262,95.56769884638737
1737,ice,37,4.02834008097165,95.97165991902835
1738,ice,38,3.7254504960518293,96.27454950394817
1739,ice,39,3.74645605508303,96.25354394491697
1740,ice,40,4.12788344799676,95.87211655200323
1741,ice,41,3.17878112978335,96.82121887021665
1742,ice,42,3.8866396761133597,96.11336032388664
1743,ice,43,3.5815459328207195,96.41845406717928
1744,ice,44,4.10931174089068,95.89068825910933
1745,ice,45,4.69635627530364,95.30364372469636
1746,ice,46,4.6742209631728,95.3257790368272
1747,ice,47,4.25015179113539,95.7498482088646
1723,ice,23,3.9692183070068796,96.03078169299312
1724,ice,24,3.5808213635444,96.4191786364556
1721,ice,21,3.7434237150950995,96.2565762849049
1706,ice,6,3.4405990690143695,96.55940093098563
1720,ice,20,4.53257790368272,95.46742209631728
1798,ice,98,4.5721221930002,95.4278778069998
1700,ice,0,3.88506677458518,96.11493322541482
1701,ice,1,3.34075723830735,96.65924276169265
1702,ice,2,3.8469325774448198,96.15306742255518
1703,ice,3,3.8235889136152097,96.17641108638479
1704,ice,4,4.22649140546006,95.77350859453993
1705,ice,5,4.18858761634965,95.81141238365035
1707,ice,7,3.1990281433488494,96.80097185665115
1748,ice,48,3.8866396761133597,96.11336032388664
1719,ice,19,3.3400809716599102,96.65991902834008
1710,ice,10,4.13206400648166,95.86793599351834
1711,ice,11,4.00566457616831,95.99433542383169
1712,ice,12,4.25101214574898,95.74898785425103
1713,ice,13,3.9076736181413194,96.09232638185868
1714,ice,14,4.49029126213592,95.50970873786407
1715,ice,15,3.7029542695264994,96.2970457304735
1716,ice,16,3.6624848239579095,96.33751517604209
1717,ice,17,3.3980582524271803,96.60194174757282
1718,ice,18,3.1585341162178504,96.84146588378215
1708,ice,8,3.86796273795058,96.13203726204942
1709,ice,9,4.3531079165823,95.6468920834177
1725,ice,25,3.1180400890868496,96.88195991091315
1774,ice,74,3.68048533872598,96.31951466127401
1786,ice,86,3.68421052631578,96.31578947368422
1777,ice,77,4.814889743071,95.185110256929
1778,ice,78,4.110143753796311,95.88985624620369
1779,ice,79,3.7022051385798,96.2977948614202
1780,ice,80,4.37070012140833,95.62929987859167
1781,ice,81,4.795629299878589,95.20437070012142
1782,ice,82,2.89649584768077,97.10350415231923
1783,ice,83,3.2793522267206403,96.72064777327935
1784,ice,84,3.1174089068825896,96.88259109311741
1785,ice,85,3.17813765182186,96.82186234817814
1749,ice,49,3.6212826218895398,96.37871737811047
1787,ice,87,3.6025096134385706,96.39749038656143
1788,ice,88,3.9045114303054804,96.09548856969452
1789,ice,89,4.0898967402308095,95.91010325976919
1790,ice,90,3.47966821768156,96.52033178231844
1791,ice,91,3.86796273795058,96.13203726204942
1792,ice,92,3.1585341162178504,96.84146588378215
1793,ice,93,4.20797086789399,95.79202913210601
1794,ice,94,3.7854251012145697,96.21457489878543
1795,ice,95,3.6459388292485304,96.35406117075146
1796,ice,96,4.77926285945727,95.22073714054272
1750,ice,50,3.36032388663967,96.63967611336032
1776,ice,76,3.64298724954462,96.35701275045538
1797,ice,97,4.33198380566801,95.66801619433198
1775,ice,75,3.33940497874924,96.66059502125076
1761,ice,61,2.99716484406642,97.00283515593358
1773,ice,73,3.8866396761133597,96.11336032388664
1752,ice,52,3.98866167240332,96.01133832759668
1753,ice,53,3.8469325774448198,96.15306742255518
1754,ice,54,3.74190938511326,96.25809061488674
1755,ice,55,4.6328140805179,95.3671859194821
1756,ice,56,4.332860903016799,95.6671390969832
1757,ice,57,3.4831915755366496,96.51680842446335
1759,ice,59,3.84381954278778,96.15618045721222
1760,ice,60,4.37246963562753,95.62753036437248
1751,ice,51,3.9053014973694804,96.09469850263052
1762,ice,62,3.9060918842339603,96.09390811576604
1758,ice,58,4.18689320388349,95.81310679611651
1765,ice,65,4.65775617658971,95.34224382341029
1766,ice,66,3.70595382746051,96.2940461725395
1767,ice,67,4.14727898037629,95.85272101962371
1772,ice,72,3.94577094293808,96.05422905706192
1768,ice,68,3.7869582827055397,96.21304171729446
1769,ice,69,3.5627530364372397,96.43724696356276
1770,ice,70,4.83707751467314,95.16292248532686
1771,ice,71,3.60105199271697,96.39894800728302
1763,ice,63,3.21797207043108,96.78202792956893
1735,ice,35,3.9068825910931104,96.09311740890689
1764,ice,64,3.4008097165991904,96.59919028340082
1627,marine,27,6.41310944770382,93.58689055229618
1628,marine,28,7.1356377602587395,92.86436223974125
1629,marine,29,8.63047001620745,91.36952998379255
1634,marine,34,9.17357041826631,90.82642958173369
1626,marine,26,6.19558615104272,93.80441384895728
1632,marine,32,12.20448575469791,87.79551424530209
1633,marine,33,9.438156831042841,90.56184316895715
1635,marine,35,9.74919093851132,90.25080906148868
1630,marine,30,6.81772203115516,93.18227796884484
1625,marine,25,7.67987065481002,92.32012934518998
1646,marine,46,7.09651257096512,92.90348742903488
1636,marine,36,7.563195146612739,92.43680485338726
1637,marine,37,6.27403359643796,93.72596640356204
1638,marine,38,6.169093851132681,93.83090614886731
1639,marine,39,5.803842264914049,94.19615773508595
1641,marine,41,7.38716858935438,92.61283141064563
1642,marine,42,5.71660247314007,94.28339752685993
1643,marine,43,11.857547551598541,88.14245244840146
1644,marine,44,10.09304207119741,89.9069579288026
1645,marine,45,6.92868719611021,93.0713128038898
1648,marine,48,5.44534412955465,94.55465587044534
1647,marine,47,7.155852031534261,92.84414796846573
1624,marine,24,5.883542256368781,94.11645774363122
1611,marine,11,9.80352440753494,90.19647559246506
1613,marine,13,6.614077669902909,93.38592233009709
1640,marine,40,4.991915925626509,95.00808407437349
1607,marine,7,7.49949464321811,92.50050535678189
1622,marine,22,6.07533414337788,93.92466585662211
1649,marine,49,8.86280857952246,91.13719142047754
1601,marine,1,7.00404858299595,92.99595141700405
1602,marine,2,9.58543983822042,90.41456016177958
1603,marine,3,8.97695107157298,91.02304892842702
1604,marine,4,9.65782547074306,90.34217452925694
1605,marine,5,7.13708046906591,92.8629195309341
1606,marine,6,7.49646393210749,92.50353606789251
1631,marine,31,9.36678130689864,90.63321869310136
1608,marine,8,10.29114435907804,89.70885564092197
1610,marine,10,7.51012145748987,92.48987854251013
1612,marine,12,5.319579288025889,94.68042071197411
1614,marine,14,8.89967637540453,91.10032362459548
1615,marine,15,6.48878107944208,93.51121892055792
1616,marine,16,7.12256493506493,92.87743506493507
1617,marine,17,6.67340748230535,93.32659251769465
1618,marine,18,9.024686361796839,90.97531363820316
1619,marine,19,9.33521923620933,90.66478076379067
1620,marine,20,6.67610762694719,93.32389237305281
1609,marine,9,4.89086499595796,95.10913500404205
1621,marine,21,12.553062462098241,87.44693753790176
1600,marine,0,7.3377804730139395,92.66221952698606
1623,marine,23,8.574317492416581,91.42568250758342
1688,marine,88,6.79199514857489,93.20800485142512
1686,marine,86,6.75293166194904,93.24706833805097
1677,marine,77,9.451528030762999,90.548471969237
1678,marine,78,6.3928788185312495,93.60712118146876
1679,marine,79,6.2512644143232805,93.74873558567671
1680,marine,80,5.54543614652904,94.45456385347096
1681,marine,81,7.27419680743584,92.72580319256416
1682,marine,82,9.68263594097432,90.31736405902568
1684,marine,84,5.96321002627855,94.03678997372145
1685,marine,85,4.85279187817258,95.14720812182742
1687,marine,87,6.33090614886731,93.66909385113269
1676,marine,76,7.903780068728521,92.09621993127148
1689,marine,89,6.56401944894651,93.43598055105349
1690,marine,90,7.984637153830601,92.0153628461694
1675,marine,75,5.84310553983016,94.15689446016984
1698,marine,98,9.122168284789641,90.87783171521036
1697,marine,97,6.33731524600121,93.66268475399879
1696,marine,96,7.219413549039429,92.78058645096057
1695,marine,95,7.6067165688852905,92.39328343111471
1651,marine,51,5.80971659919028,94.19028340080972
1693,marine,93,8.813422276126941,91.18657772387306
1692,marine,92,10.06467259498787,89.93532740501213
1691,marine,91,4.37070012140833,95.62929987859167
1683,marine,83,9.48049322821912,90.51950677178088
1660,marine,60,4.99797652772157,95.00202347227842
1694,marine,94,4.7290440430282095,95.27095595697179
1699,marine,99,6.45096056622851,93.5490394337715
1674,marine,74,9.67807248430856,90.32192751569144
1652,marine,52,6.511627906976739,93.48837209302326
1673,marine,73,7.09651257096512,92.90348742903488
1653,marine,53,9.30797248077701,90.69202751922299
1654,marine,54,7.72192946899067,92.27807053100933
1655,marine,55,8.634984833164811,91.36501516683519
1656,marine,56,5.34521158129175,94.65478841870825
1658,marine,58,8.205335489086501,91.79466451091349
1659,marine,59,6.504559270516711,93.49544072948329
1650,marine,50,9.04309124013756,90.95690875986244
1662,marine,62,8.10592278148372,91.89407721851629
1657,marine,57,9.33387325369508,90.66612674630493
1663,marine,63,6.79199514857489,93.20800485142512
1672,marine,72,9.03760614638091,90.96239385361909
1665,marine,65,10.028305701577029,89.97169429842297
1664,marine,64,7.40590853905301,92.59409146094698
1666,marine,66,10.420882233913389,89.57911776608661
1667,marine,67,7.9474216380181995,92.0525783619818
1668,marine,68,7.3076923076922995,92.69230769230771
1669,marine,69,7.2440307567786295,92.75596924322137
1670,marine,70,8.68415700630465,91.31584299369536
1671,marine,71,8.04365400161681,91.95634599838318
1661,marine,61,9.72644376899696,90.27355623100304
966,groundwater,66,9.17171717171717,90.82828282828282
974,groundwater,74,8.24242424242424,91.75757575757576
973,groundwater,73,10.04243281471004,89.95756718528996
968,groundwater,68,8.5050505050505,91.4949494949495
975,groundwater,75,5.67676767676767,94.32323232323233
970,groundwater,70,7.41563952313598,92.58436047686402
969,groundwater,69,8.48827809215844,91.51172190784156
967,groundwater,67,6.424242424242419,93.57575757575758
972,groundwater,72,7.23378460295009,92.7662153970499
971,groundwater,71,8.56565656565656,91.43434343434345
954,groundwater,54,6.202020202020201,93.79797979797979
964,groundwater,64,9.85858585858585,90.14141414141415
962,groundwater,62,7.55555555555555,92.44444444444446
960,groundwater,60,5.19191919191919,94.8080808080808
959,groundwater,59,10.48696706405334,89.51303293594665
958,groundwater,58,6.36492220650636,93.63507779349364
957,groundwater,57,8.383838383838379,91.61616161616162
956,groundwater,56,7.050505050505049,92.94949494949495
955,groundwater,55,5.09193776520509,94.90806223479491
976,groundwater,76,8.46806790622473,91.53193209377527
928,groundwater,28,8.74747474747474,91.25252525252526
961,groundwater,61,6.809456455849661,93.19054354415034
999,groundwater,99,8.68686868686868,91.31313131313132
986,groundwater,86,9.575757575757569,90.42424242424244
978,groundwater,78,8.5050505050505,91.4949494949495
965,groundwater,65,7.33481511416447,92.66518488583553
991,groundwater,91,8.58585858585858,91.41414141414143
992,groundwater,92,8.383838383838379,91.61616161616162
993,groundwater,93,8.890684986866031,91.10931501313397
998,groundwater,98,8.383838383838379,91.61616161616162
995,groundwater,95,7.3131313131313105,92.68686868686869
996,groundwater,96,7.63636363636363,92.36363636363637
997,groundwater,97,8.06386418755052,91.93613581244948
990,groundwater,90,9.17171717171717,90.82828282828282
994,groundwater,94,7.81818181818181,92.18181818181819
963,groundwater,63,7.69852495453627,92.30147504546373
989,groundwater,89,9.39583754293796,90.60416245706205
987,groundwater,87,8.6482117599515,91.3517882400485
985,groundwater,85,8.30470802182259,91.69529197817741
984,groundwater,84,6.787878787878779,93.21212121212122
983,groundwater,83,10.408245755860952,89.59175424413905
982,groundwater,82,8.3030303030303,91.6969696969697
981,groundwater,81,5.90018185492018,94.09981814507982
980,groundwater,80,9.09458367016976,90.90541632983025
979,groundwater,79,9.94140230349565,90.05859769650435
952,groundwater,52,7.902182700080839,92.09781729991916
988,groundwater,88,7.90058597696504,92.09941402303497
953,groundwater,53,5.83838383838383,94.16161616161617
951,groundwater,51,5.13131313131313,94.86868686868686
977,groundwater,77,9.17171717171717,90.82828282828282
923,groundwater,23,8.36532632855122,91.63467367144878
927,groundwater,27,8.36532632855122,91.63467367144878
922,groundwater,22,5.9405940594059405,94.05940594059406
921,groundwater,21,6.46464646464646,93.53535353535354
920,groundwater,20,9.13315821378056,90.86684178621944
919,groundwater,19,6.122448979591829,93.87755102040818
918,groundwater,18,7.07070707070707,92.92929292929293
917,groundwater,17,7.27272727272727,92.72727272727273
915,groundwater,15,6.565656565656559,93.43434343434345
914,groundwater,14,9.43434343434343,90.56565656565657
913,groundwater,13,6.082036775106079,93.91796322489392
950,groundwater,50,7.07213578500707,92.92786421499292
912,groundwater,12,10.56779147302485,89.43220852697515
910,groundwater,10,6.97110527379268,93.02889472620733
911,groundwater,11,6.0618306728632,93.9381693271368
924,groundwater,24,7.53535353535353,92.46464646464646
903,groundwater,3,6.243685593049101,93.7563144069509
904,groundwater,4,9.55555555555555,90.44444444444446
