,0
97_10060,0.00029371083206159457
97_10170,2.8393091109482575e-06
97_10374,0.00026359503348971365
97_1050,3.6471040331804856e-07
97_10537,1.8044189344141174e-05
97_1054,8.438578221270352e-05
97_1071,1.112657951400223e-05
97_10733,0.00017937943480593295
97_1075,0.0002652020090620673
97_10839,0.00026514892142079865
97_1084,0.007038160150941587
97_10925,0.0003511943477062791
97_11096,1.0522306129146103e-05
97_11378,0.011633010053530837
97_1147,1.3189170994581255e-06
97_1148,1.4570973119437157e-05
97_1175,0.0010449498218291291
97_1194,0.0002236863296469109
97_12020,0.0001320181093627535
97_12056,1.928964634885856e-05
97_12122,3.922859774458556e-05
97_1226,4.727937271858153e-05
97_1228,8.25528800482023e-05
97_1230,0.0001297124640913949
97_1232,2.4206589247159606e-05
97_1300,0.0013932541837009236
97_1301,5.468699541323728e-06
97_13015,2.146894695058371e-05
97_13039,1.3897017079227378e-05
97_13041,0.00011669730370374248
97_1309,0.001086912456278962
97_1313,0.0003381434779997962
97_1324,4.874362766900663e-05
97_1325,3.390267703683008e-05
97_13291,6.392812135333252e-06
97_13292,0.0007239833773057344
97_1330,0.00032949207415957266
97_1333,0.00019628598439394666
97_13532,1.4586274898771248e-06
97_1361,1.604665080212472e-05
97_1366,0.00018847439809664145
97_1370,0.00038625154230611245
97_1379,0.00027069234201059373
97_1382,0.0040811973295654235
97_1403,4.539915168885419e-06
97_14136,2.2094297253873703e-06
97_14137,1.315103931354843e-07
97_1456,0.00017527038774964068
97_1465,7.897426082858649e-05
97_14712,3.1765021203797287e-06
97_14748,0.00016709973104664914
97_14988,2.0645104085887044e-05
97_15193,0.0008456145215149934
97_1527,1.0170569583383767e-05
97_1537,0.0001546559885965036
97_1542,1.0206593564321294e-05
97_15421,4.954755477892325e-05
97_1547,1.0800531386217175e-05
97_1549,8.624927766227844e-08
97_1553,0.0005156305507616681
97_1555,0.018348706453524957
97_15657,0.0006461004629220725
97_1585,0.001024667721985437
97_160,0.005988668095314178
97_16044,5.298655426082654e-06
97_1606,0.00011622257237589486
97_1613,1.4652035562586656e-05
97_16290,0.0005392590948291593
97_164,0.002074175851180299
97_1641,0.0023641046808200905
97_16428,6.8913712896625485e-06
97_1659,0.00026894763326196566
97_1665,0.011220514227728464
97_1666,0.00014990161895519884
97_16738,0.00011581300936465293
97_16936,0.0008341939929012272
97_1697,2.336173937812339e-05
97_1742,0.003924234081026384
97_17470,5.475655242314443e-05
97_17737,0.00013185368766178437
97_17770,1.416952418737119e-05
97_17976,3.1637773486128094e-06
97_18025,7.1225393212621345e-06
97_1803,0.010005826331937374
97_18157,9.705592539702884e-08
97_1825,0.0005428011382438441
97_1830,0.00018899420438495598
97_1834,7.71790498519171e-05
97_1841,1.760556603249534e-05
97_1854,5.07087554990179e-05
97_1856,3.242311486084001e-05
97_1860,0.00013902509466218107
97_18627,9.445582522435015e-06
97_1877,3.325613643586872e-05
97_1885,1.8504975617844127e-06
97_1889,0.0003807030506029415
97_18927,6.890463269640627e-05
97_1894,2.698782591942738e-05
97_18950,2.7174429948396586e-06
97_19095,0.00029282977768191874
97_1935,5.960886578041807e-06
97_1936,2.1119390345587277e-05
97_1950,1.950847911621416e-05
97_1973,4.315867508868051e-05
97_1991,2.5279598597573075e-06
97_2021,2.1129807890609775e-06
97_2039,0.0001233793990657774
97_2048,1.5383740878106123e-07
97_2057,0.0007208967995926849
97_2069,1.128003949525467e-05
97_2071,0.0005469514277512365
97_2072,5.705954846630018e-05
97_20788,3.4088242294421685e-05
97_20794,5.463253596501455e-06
97_2082,1.650491773128075e-05
97_2093,2.092280256692967e-05
97_2106,0.001525895561584219
97_2108,1.699585401717722e-05
97_2110,0.00029545982741664646
97_2138,2.8371472915232984e-08
97_2140,0.0001968162386130606
97_2154,5.0419487319278e-06
97_216,9.762626706068424e-05
97_2177,0.00039446627836060594
97_2208,8.820011436785743e-06
97_22145,6.011313291614818e-06
97_2220,1.4084365613507788e-05
97_2236,6.156515133139881e-05
97_22392,4.1071084601097474e-07
97_22412,1.1600780036449771e-06
97_2251,2.9483009960518647e-06
97_2258,0.04637476277955314
97_2263,0.00012895613992502285
97_2264,0.0008412995826112814
97_227,0.010047989889462273
97_2273,1.752750802475112e-05
97_2275,1.0619589241553575e-05
97_228,0.0015710413734563024
97_22831,0.009116447495589326
97_2285,0.0004956976156645124
97_22959,0.00011770545578659602
97_2298,5.549056751748386e-06
97_2309,1.4783821055985149e-06
97_2317,0.0010895445810706953
97_233,2.763279816830348e-06
97_2346,7.266422660191584e-07
97_239,0.16886053786791635
97_24041,0.0013635079463737295
97_24738,0.0022010660884031878
97_2478,0.0017761704574511777
97_24849,0.0001094446240959379
97_2496,0.00471167823993725
97_25106,0.00023306077541547344
97_252,1.1779423410151931e-05
97_2523,0.0008450192085684322
97_2535,0.0006852687193762816
97_2547,0.005899185219550906
97_2550,1.1131430633570192e-05
97_2569,3.123098488573669e-05
97_2572,0.0009135648638894124
97_258,0.003593575726743976
97_259,0.00010674075999420507
97_2593,7.884597956977603e-06
97_2609,2.3542744695846285e-05
97_26184,9.110511074894133e-06
97_26381,1.2827536141062948e-05
97_26612,7.519168594629512e-06
97_2674,8.139950902143427e-05
97_2687,7.15963941968078e-06
97_27012,7.467185678021851e-07
97_2726,1.038499348855146e-05
97_2736,1.9410307105993644e-07
97_27384,0.0012786313362772445
97_2742,1.957060566871996e-05
97_2755,4.135969746551042e-06
97_27767,0.0003091088988141286
97_28060,7.36671587029446e-06
97_28170,1.8063923753113966e-05
97_282,0.005398394846949036
97_2822,0.0004169315607048498
97_2832,3.3480795680334315e-05
97_2837,6.387849996681688e-05
97_2844,0.00012714292017860452
97_28517,4.653269196661906e-06
97_28781,8.343139494707489e-07
97_2895,0.0004312955678112305
97_2899,0.00026892349938257296
97_290,8.926974262833485e-06
97_2906,9.135166699815508e-06
97_29169,6.399139955589967e-06
97_2917,1.3587214974196626e-06
97_2948,0.0012105519680394765
97_2949,5.850269833846578e-05
97_2968,0.0013281554344994955
97_2973,2.5013604265310233e-05
97_2998,0.0022172449055267514
97_3004,1.3224889241553843e-06
97_3025,0.0004164139288043592
97_30251,5.686998940579698e-06
97_3042,0.00043198342974091976
97_3043,0.0003347464217541533
97_3085,1.887507954949612e-05
97_3095,4.831651748538807e-05
97_3097,4.4110336244561514e-05
97_31030,6.71351993412984e-05
97_3107,5.890820114162032e-07
97_31085,0.0003769348733336332
97_31086,7.188861134180019e-06
97_311,9.830379494732236e-05
97_3113,9.770160491690957e-09
97_3146,2.7939906848353337e-06
97_316,0.007686500679022378
97_31659,3.6845350447185615e-06
97_3188,1.045074076656621e-06
97_3212,0.0008120024220971342
97_3220,2.608207661185078e-05
97_3231,1.3587214974196626e-06
97_3248,1.6323398955207605e-06
97_3270,0.00015445763667232146
97_3273,2.0510861653138456e-05
97_3281,6.543564989310914e-06
97_3283,0.00010002383715530389
97_3287,4.851879696344374e-05
97_329,0.023746759733955253
97_3300,0.0007840901328006971
97_3322,0.00035899806359495284
97_3323,0.000992913093459091
97_3337,9.877894884005586e-07
97_33425,3.70832430692293e-05
97_3344,0.00021782827804566802
97_33458,5.1279136260382516e-08
97_3363,0.004019617158066061
97_3379,0.00011588332098838518
97_3382,0.00017620874535930088
97_33932,3.324638317190936e-05
97_3415,1.8199388864523482e-06
97_3420,0.0011711628790700432
97_3430,0.0022433715178257737
97_3432,0.00792637071332209
97_34349,1.1239282641546461e-07
97_3436,1.5295804041936596e-05
97_3437,7.660314138733081e-05
97_3451,2.7674268088851563e-05
97_3464,4.838374112763638e-06
97_34716,1.5781313332543288e-05
97_3482,0.0073033115759490895
97_3489,0.00037779299536285627
97_3494,2.1212618637315485e-07
97_3505,0.0001376274047185814
97_3506,5.997951822355897e-05
97_3514,0.0024101068220454326
97_3515,2.6889335395929526e-07
97_3528,2.1323617042190206e-05
97_3529,0.00026184128088632154
97_3535,7.698193203166373e-05
97_3548,3.641079786671485e-05
97_3549,0.0003091512984917418
97_3555,0.00013544417636690426
97_3569,1.5803701365732972e-05
97_3575,3.185881172324463e-05
97_3581,6.807614925216263e-06
97_3587,0.00010058751931292187
97_3594,4.1500698456756186e-07
97_3610,0.00010055468433555772
97_3620,1.5721398257056728e-05
97_3625,6.197287241090535e-05
97_3639,0.0001243031861840988
97_3658,0.00012638179111988958
97_368,6.378563942870412e-07
97_3692,1.9259547439148143e-06
97_3693,0.0007806108192369217
97_3703,1.6666473454857424e-06
97_373,0.0019089100242301272
97_37315,5.145016257604879e-05
97_3739,0.0004184945632408753
97_3754,8.853695100667987e-05
97_37705,1.3756179965855938e-05
97_3774,2.1163754455154516e-05
97_3795,1.0789458882608281e-05
97_3830,3.0692971610515027e-06
97_3833,0.00014311540257709108
97_38451,4.070436623057682e-06
97_386,8.488593501202835e-06
97_3868,4.128765482267007e-06
97_3945,5.34697227518983e-05
97_39512,0.0004554004746336689
97_39893,3.6211106286082735e-05
97_3994,5.9437217480928564e-05
97_4002,1.0892619252293803e-05
97_4005,0.0005199295831091741
97_4014,0.0005990250750132316
97_4029,8.975288247442389e-06
97_40301,4.485751466732116e-06
