test,GCF,main,evid,V1,Organism/Name,Strain,TaxID,no rank,superkingdom,phylum,class,order,family,genus,count,rename_phylum,phylum_size,rename_class,class_size,nifHDK
GCF_000696715.1_Maq_reference_guided_assembly_protein,GCF_000696715.1,,,11,Mycobacterium avium subsp. hominissuis A5,A5,1160711,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000196075.1_ASM19607v1_protein,GCF_000196075.1,,,12,Tropheryma whipplei TW08/27,TW08/27,218496,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Tropherymataceae,Tropheryma,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000195955.2_ASM19595v2_protein,GCF_000195955.2,,,16,Mycobacterium tuberculosis H37Rv,H37Rv,83332,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000196555.1_ASM19655v1_protein,GCF_000196555.1,,,32,Bifidobacterium longum subsp. longum JCM 1217,JCM 1217,565042,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_006538985.1_ASM653898v1_protein,GCF_006538985.1,,,41,Paenarthrobacter aurescens,NBRC 12136,43663,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000404185.1_ASM40418v1_protein,GCF_000404185.1,,,58,Corynebacterium glutamicum SCgG2,SCgG2,1232383,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000006605.1_ASM660v1_protein,GCF_000006605.1,,,64,Corynebacterium jeikeium K411,K411 = NCTC 11915,306537,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_020616615.1_ASM2061661v1_protein,GCF_020616615.1,,,71,Mycobacterium ulcerans,JKD8049,1809,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000016425.1_ASM1642v1_protein,GCF_000016425.1,,,89,Salinispora tropica CNB-440,CNB-440,369723,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000384275.1_ASM38427v1_protein,GCF_000384275.1,,,99,Salinispora arenicola DSM 45545,CNS-991,999546,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora,1,Actinomycetota,3249,Actinomycetes,3141,
