Organism/Name,Strain,Genome,TaxID,no rank,superkingdom,phylum,class,order,family,genus,genome_type,evid
Rhodopseudomonas palustris,RCB100,GCF_016584445.1,1076,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Alternative nitrogen-fixing genomes,Yes
Clostridium kluyveri NBRC 12016,NBRC 12016,GCF_000010265.1,583346,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Azotobacter vinelandii DJ,DJ; ATCC BAA-1303,GCF_000021045.1,322710,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Alternative nitrogen-fixing genomes,Yes
Rhodospirillum rubrum F11,F11,GCF_000225955.1,1036743,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Alternative nitrogen-fixing genomes,Yes
Methanosarcina barkeri 227,227,GCF_000970065.1,1434106,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Alternative nitrogen-fixing genomes,Yes
Methanosarcina acetivorans C2A,C2A,GCF_000007345.1,188937,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Alternative nitrogen-fixing genomes,Yes
Rhodobacter capsulatus SB 1003,SB 1003,GCF_000021865.1,272942,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,Alternative nitrogen-fixing genomes,Yes
Rhodomicrobium vannielii ATCC 17100,ATCC 17100,GCF_000166055.1,648757,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,Alternative nitrogen-fixing genomes,Yes
Thiorhodococcus drewsii AZ1,AZ1,GCF_000224065.1,765913,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodococcus,Alternative nitrogen-fixing genomes,Yes
Paenibacillus riograndensis SBR5,SBR5(T),GCF_000981585.1,1073571,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
