name,KO,genome,sign,protein,E-value
nifH,K02588,GCF_000006985.1,*,WP_010933198.1,3.50E-149
nifD,K02586,GCF_000006985.1,*,WP_010933201.1,9.10E-204
nifK,K02591,GCF_000006985.1,*,WP_010933202.1,1.80E-170
nifE,K02587,GCF_000006985.1,*,WP_010933203.1,3.20E-177
nifN,K02592,GCF_000006985.1,*,WP_010933204.1,9.60E-178
nifB,K02585,GCF_000006985.1,*,WP_010933205.1,2.40E-164
nifH,K02588,GCF_000007065.1,*,WP_011032670.1,6.70E-147
nifD,K02586,GCF_000007065.1,*,WP_011032673.1,2.20E-203
nifK,K02591,GCF_000007065.1,*,WP_011032674.1,2.70E-170
nifN,K02592,GCF_000007065.1,*,WP_011032676.1,4.30E-177
nifB,K02585,GCF_000007065.1,*,WP_011032708.1,2.80E-147
nifB,K02585,GCF_000007065.1,*,WP_048036300.1,3.00E-143
nifE,K02587,GCF_000007065.1,*,WP_048045855.1,1.30E-182
nifB,K02585,GCF_000007105.1,*,WP_011241550.1,2.20E-196
nifH,K02588,GCF_000007105.1,*,WP_011241556.1,4.50E-147
nifD,K02586,GCF_000007105.1,*,WP_011241557.1,1.10E-202
nifK,K02591,GCF_000007105.1,*,WP_011241558.1,8.50E-192
nifE,K02587,GCF_000007105.1,*,WP_011241559.1,2.30E-241
nifN,K02592,GCF_000007105.1,*,WP_011241560.1,5.70E-192
nifB,K02585,GCF_000007185.1,*,WP_011018952.1,7.80E-90
nifH,K02588,GCF_000007185.1,*,WP_011019784.1,2.80E-122
nifH,K02588,GCF_000007345.1,*,WP_011021227.1,4.00E-139
nifK,K02591,GCF_000007345.1,*,WP_011021230.1,2.30E-156
anfG,K00531,GCF_000007345.1,*,WP_011021231.1,2.70E-60
nifD,K02586,GCF_000007345.1,*,WP_011021232.1,5.00E-172
vnfG,K22898,GCF_000007345.1,*,WP_011021238.1,4.10E-54
nifK,K02591,GCF_000007345.1,*,WP_011021239.1,1.30E-153
nifH,K02588,GCF_000007345.1,*,WP_011021640.1,1.70E-122
nifH,K02588,GCF_000007345.1,*,WP_011022025.1,6.20E-169
nifH,K02588,GCF_000007345.1,*,WP_011023791.1,9.20E-145
nifD,K02586,GCF_000007345.1,*,WP_011023794.1,1.30E-201
nifK,K02591,GCF_000007345.1,*,WP_011023795.1,2.30E-170
nifE,K02587,GCF_000007345.1,*,WP_011023796.1,1.90E-182
nifN,K02592,GCF_000007345.1,*,WP_011023797.1,6.90E-177
nifB,K02585,GCF_000007345.1,*,WP_011024080.1,3.90E-149
nifB,K02585,GCF_000007985.2,*,WP_010943426.1,9.70E-135
nifE,K02587,GCF_000007985.2,*,WP_010943433.1,1.10E-251
nifN,K02592,GCF_000007985.2,*,WP_010943433.1,3.50E-171
nifK,K02591,GCF_000007985.2,*,WP_010943445.1,8.80E-176
nifD,K02586,GCF_000007985.2,*,WP_010943446.1,1.00E-199
nifH,K02588,GCF_000007985.2,*,WP_010943447.1,9.10E-151
nifB,K02585,GCF_000008325.1,*,WP_010959571.1,4.10E-219
nifH,K02588,GCF_000008325.1,*,WP_010959594.1,4.20E-147
nifD,K02586,GCF_000008325.1,*,WP_010959595.1,7.70E-219
nifK,K02591,GCF_000008325.1,*,WP_010959596.1,3.80E-193
nifE,K02587,GCF_000008325.1,*,WP_010959598.1,3.70E-267
nifN,K02592,GCF_000008325.1,*,WP_010959599.1,5.70E-205
nifH,K02588,GCF_000008645.1,*,WP_010876281.1,5.90E-129
nifD,K02586,GCF_000008645.1,*,WP_010877172.1,1.20E-170
nifK,K02591,GCF_000008645.1,*,WP_010877173.1,1.50E-149
nifE,K02587,GCF_000008645.1,*,WP_010877174.1,7.90E-167
nifB,K02585,GCF_000008645.1,*,WP_010877473.1,8.20E-129
nifH,K02588,GCF_000008645.1,*,WP_048061088.1,2.40E-142
nifN,K02592,GCF_000009985.1,*,WP_011383978.1,1.50E-186
nifE,K02587,GCF_000009985.1,*,WP_011383979.1,2.40E-235
nifK,K02591,GCF_000009985.1,*,WP_011383982.1,9.80E-186
nifD,K02586,GCF_000009985.1,*,WP_011383983.1,1.10E-208
nifB,K02585,GCF_000009985.1,*,WP_011383993.1,2.50E-200
nifH,K02588,GCF_000009985.1,*,WP_148207338.1,6.20E-145
nifD,K02586,GCF_000010265.1,*,WP_011988939.1,1.60E-177
anfG,K00531,GCF_000010265.1,*,WP_011988940.1,4.60E-61
nifK,K02591,GCF_000010265.1,*,WP_011988941.1,2.80E-155
nifK,K02591,GCF_000010265.1,*,WP_011989394.1,1.10E-135
nifH,K02588,GCF_000010265.1,*,WP_012101409.1,3.50E-147
nifB,K02585,GCF_000010265.1,*,WP_012101412.1,5.70E-168
nifH,K02588,GCF_000010265.1,*,WP_012101422.1,3.10E-147
nifK,K02591,GCF_000010265.1,*,WP_012102137.1,2.30E-149
vnfG,K22898,GCF_000010265.1,*,WP_012102138.1,2.70E-47
nifH,K02588,GCF_000010265.1,*,WP_012102140.1,5.40E-139
nifH,K02588,GCF_000010265.1,*,WP_012102807.1,3.00E-126
nifB,K02585,GCF_000010265.1,*,WP_012103418.1,2.90E-168
nifN,K02592,GCF_000010265.1,*,WP_012103418.1,1.50E-157
nifE,K02587,GCF_000010265.1,*,WP_012103419.1,2.20E-180
nifK,K02591,GCF_000010265.1,*,WP_012103420.1,2.10E-173
nifD,K02586,GCF_000010265.1,*,WP_012103421.1,2.00E-200
nifH,K02588,GCF_000010265.1,*,WP_012103424.1,7.50E-147
nifN,K02592,GCF_000010525.1,*,WP_012169568.1,3.00E-201
nifE,K02587,GCF_000010525.1,*,WP_012169569.1,6.50E-260
nifK,K02591,GCF_000010525.1,*,WP_012169570.1,1.10E-194
nifD,K02586,GCF_000010525.1,*,WP_012169571.1,1.10E-217
nifH,K02588,GCF_000010525.1,*,WP_012169572.1,5.70E-147
nifB,K02585,GCF_000010525.1,*,WP_012171937.1,2.10E-218
nifH,K02588,GCF_000010525.1,*,WP_012171966.1,7.00E-147
nifB,K02585,GCF_000010665.1,*,WP_015860440.1,2.40E-162
nifN,K02592,GCF_000010665.1,*,WP_015860441.1,3.50E-181
nifE,K02587,GCF_000010665.1,*,WP_015860442.1,3.00E-180
nifK,K02591,GCF_000010665.1,*,WP_015860734.1,5.40E-165
nifD,K02586,GCF_000010665.1,*,WP_015860735.1,1.40E-196
nifH,K02588,GCF_000010665.1,*,WP_015860737.1,1.10E-148
nifH,K02588,GCF_000011005.1,*,WP_012899116.1,5.30E-114
nifH,K02588,GCF_000011005.1,*,WP_012899656.1,2.40E-121
nifB,K02585,GCF_000011005.1,*,WP_012900689.1,2.90E-128
nifH,K02588,GCF_000012485.1,*,WP_011358257.1,2.40E-149
nifD,K02586,GCF_000012485.1,*,WP_011358260.1,1.50E-201
nifK,K02591,GCF_000012485.1,*,WP_011358261.1,3.90E-171
nifE,K02587,GCF_000012485.1,*,WP_011358262.1,1.50E-176
nifN,K02592,GCF_000012485.1,*,WP_011358263.1,7.50E-177
nifB,K02585,GCF_000012485.1,*,WP_011358264.1,1.40E-159
nifE,K02587,GCF_000012885.1,*,WP_011339986.1,5.80E-188
nifN,K02592,GCF_000012885.1,*,WP_011339987.1,7.50E-150
nifD,K02586,GCF_000012885.1,*,WP_011341852.1,7.30E-200
nifK,K02591,GCF_000012885.1,*,WP_011341853.1,8.50E-178
nifB,K02585,GCF_000012885.1,*,WP_011341860.1,3.90E-124
nifH,K02588,GCF_000012885.1,*,WP_041531819.1,4.30E-151
nifB,K02585,GCF_000012925.1,*,WP_004514072.1,8.40E-132
nifH,K02588,GCF_000012925.1,*,WP_004514270.1,1.70E-151
nifD,K02586,GCF_000012925.1,*,WP_004514271.1,1.70E-199
nifK,K02591,GCF_000012925.1,*,WP_004514272.1,8.10E-175
nifE,K02587,GCF_000012925.1,*,WP_004514277.1,2.00E-255
nifN,K02592,GCF_000012925.1,*,WP_004514277.1,1.40E-170
nifB,K02585,GCF_000013345.1,*,WP_011438832.1,4.60E-208
nifN,K02592,GCF_000013345.1,*,WP_011438838.1,9.00E-173
nifE,K02587,GCF_000013345.1,*,WP_011438839.1,5.90E-221
nifK,K02591,GCF_000013345.1,*,WP_011438840.1,9.00E-180
nifD,K02586,GCF_000013345.1,*,WP_011438841.1,4.20E-201
nifH,K02588,GCF_000013345.1,*,WP_011438842.1,3.10E-152
nifH,K02588,GCF_000013445.1,*,WP_011447346.1,1.70E-139
nifH,K02588,GCF_000013445.1,*,WP_011447824.1,3.00E-138
nifB,K02585,GCF_000013445.1,*,WP_011447844.1,5.30E-143
nifN,K02592,GCF_000013645.1,*,WP_011491818.1,3.30E-191
nifE,K02587,GCF_000013645.1,*,WP_011491819.1,2.00E-249
nifK,K02591,GCF_000013645.1,*,WP_011491822.1,2.50E-184
nifD,K02586,GCF_000013645.1,*,WP_011491823.1,5.40E-210
nifH,K02588,GCF_000013645.1,*,WP_011491824.1,6.50E-146
nifB,K02585,GCF_000013645.1,*,WP_011491842.1,5.90E-214
nifH,K02588,GCF_000013725.1,*,WP_011499122.1,3.20E-116
nifB,K02585,GCF_000013725.1,*,WP_011499335.1,5.60E-150
nifH,K02588,GCF_000014725.1,*,WP_011639854.1,2.60E-119
nifN,K02592,GCF_000014865.1,*,WP_011712860.1,2.80E-173
nifE,K02587,GCF_000014865.1,*,WP_011712861.1,3.80E-219
nifK,K02591,GCF_000014865.1,*,WP_011712866.1,2.80E-184
nifD,K02586,GCF_000014865.1,*,WP_011712867.1,1.50E-209
nifH,K02588,GCF_000014865.1,*,WP_011712868.1,6.80E-151
nifB,K02585,GCF_000014865.1,*,WP_011712872.1,1.30E-195
nifB,K02585,GCF_000014945.1,*,WP_011695612.1,1.80E-147
nifH,K02588,GCF_000014945.1,*,WP_235619453.1,4.80E-115
nifB,K02585,GCF_000014965.1,*,WP_011697876.1,1.30E-157
nifN,K02592,GCF_000014965.1,*,WP_011697877.1,2.70E-178
nifE,K02587,GCF_000014965.1,*,WP_011697878.1,4.50E-175
nifK,K02591,GCF_000014965.1,*,WP_011697880.1,3.80E-168
nifD,K02586,GCF_000014965.1,*,WP_011697881.1,1.30E-194
nifH,K02588,GCF_000014965.1,*,WP_011697884.1,2.70E-147
nifB,K02585,GCF_000014965.1,*,WP_011698816.1,2.20E-120
nifB,K02585,GCF_000015045.1,*,WP_011737272.1,2.30E-132
nifH,K02588,GCF_000015045.1,*,WP_011737276.1,4.40E-152
nifD,K02586,GCF_000015045.1,*,WP_011737277.1,9.80E-202
nifK,K02591,GCF_000015045.1,*,WP_011737278.1,5.20E-174
nifE,K02587,GCF_000015045.1,*,WP_011737299.1,1.40E-258
